fecha,51bnm1liqa,51bnm1masa,51bnmbonoa,51bnmcap1a,51bnmcap2a,51bnmcap3a,51bnmcap4a,51bnmcob_a,51bnmcp1a,51bnmcpa,51bnmdiaa,51bnmdina,51bnmdolsa,51bnmeuroa,51bnmgub1a,51bnmgub2a,51bnmgub3a,51bnmliq_a,51bnmmda,51bnmplusa,51bnmpzoa,51bnmreala,51bnmudi_a,51bnmuslqa,51gold1_a,51horzonta,52accipata,52bnm10a,52bnm50a,52bnm60a,52bnm70a,52bnm80a,52bnm90a,52bnmasiaa,52bnmbraa,52bnmcomma,52bnmem1a,52bnmem2a,52bnmeurva,52bnmfibra,52bnmint1a,52bnmint2a,52bnmipc_a,52bnmlata,52bnmmeda,52bnmpat_a,52bnmpata,52bnmuseqa,52fonbnma,52gold2_a,52gold3_a,52gold4_a,52gold5_a,52numca,52numrva
2014-12-31,5.654362,1.129883,3.473359,1.156578,1.155344,1.153882,1.156071,7.973825,1.031647,24.804403,23.988777,25.085837,1.830638,11.706852,1.78759,1.154914,50.836642,1.819456,2.721086,12.39206,2.676997,1.338361,20.19487,1.708186,118.93484,1.698393,220.832548,1.198845,1.765098,2.025633,1.791881,2.087931,1.817375,1.816235,0.719765,0.77434,1.05212,2.00022,1.209083,1.308552,2.304279,2.977087,1.324971,0.854,1.611283,1.37197,5.469587,1.817893,129.858853,1.219193,2.589813,2.339948,338.934677,0.365411,290.102232
2015-01-02,5.655481,1.130023,3.474167,1.156751,1.155517,1.154053,1.156244,7.979257,1.035657,24.846907,23.992424,25.08961,1.83154,11.665523,1.787878,1.155114,50.903889,1.819662,2.721607,12.393908,2.679369,1.337507,20.213952,1.709354,118.952746,1.698644,220.787084,1.200438,1.76729,2.028813,1.795138,2.092321,1.821653,1.828531,0.712685,0.769545,1.056866,2.009509,1.207517,1.341391,2.303398,2.974781,1.329083,0.852259,1.604681,1.376325,5.484372,1.815655,130.276579,1.22024,2.593256,2.343974,339.643551,0.365565,290.520283
2015-01-05,5.656586,1.130254,3.47844,1.157003,1.155768,1.154304,1.156496,8.014025,1.036006,24.875287,23.997742,25.094862,1.839822,11.624332,1.788267,1.155445,50.970604,1.819959,2.722237,12.396599,2.680679,1.339869,20.241563,1.716802,118.984455,1.699009,215.910231,1.193803,1.756769,2.012993,1.777755,2.068183,1.798033,1.827204,0.695503,0.764527,1.051684,2.01121,1.200945,1.310767,2.292094,2.963918,1.296929,0.837328,1.549667,1.339714,5.34248,1.808335,127.10158,1.217079,2.578885,2.324299,335.784362,0.357906,283.659035
2015-01-06,5.657028,1.130345,3.477297,1.157087,1.155851,1.154387,1.156579,8.082049,1.029933,24.792698,23.999502,25.097008,1.85471,11.653643,1.788401,1.155478,50.959227,1.820057,2.722538,12.39749,2.681083,1.338583,20.186215,1.731376,118.990702,1.69913,211.468756,1.186009,1.74349,1.993933,1.757325,2.040568,1.771781,1.822596,0.684123,0.766405,1.046393,2.00112,1.180319,1.282564,2.266481,2.931968,1.265207,0.819467,1.508057,1.303937,5.209549,1.785021,124.002337,1.213178,2.561989,2.301403,331.370375,0.349576,278.501793
2015-01-07,5.656812,1.130311,3.476482,1.157168,1.155932,1.154468,1.15666,8.043835,1.041368,24.915169,24.001213,25.096309,1.846389,11.590805,1.788441,1.155141,51.077851,1.820151,2.72268,12.398356,2.683713,1.33586,20.246974,1.723194,118.984217,1.699248,212.468266,1.183903,1.741922,1.991734,1.754708,2.03692,1.769272,1.788775,0.696584,0.757202,1.034799,1.960569,1.162975,1.299913,2.233207,2.890062,1.272305,0.824386,1.524484,1.314682,5.245845,1.758691,124.68628,1.212287,2.557453,2.294673,330.025805,0.349705,279.43104
2015-01-08,5.657264,1.130416,3.481238,1.157248,1.156012,1.154548,1.15674,7.995822,1.048411,25.018578,24.002898,25.098533,1.835923,11.444336,1.788567,1.155226,51.280827,1.820243,2.722968,12.399208,2.687686,1.336672,20.322531,1.712913,119.003007,1.699364,213.340513,1.190307,1.749951,2.003141,1.76635,2.052443,1.784047,1.812401,0.711718,0.752773,1.050046,1.969832,1.160325,1.310215,2.24783,2.895492,1.287747,0.833618,1.533603,1.331593,5.317909,1.771069,126.18133,1.215908,2.571257,2.312598,333.353031,0.351625,281.198201
2015-01-09,5.658204,1.130597,3.486202,1.157328,1.156091,1.154627,1.156819,7.935921,1.05456,25.348895,24.004577,25.102654,1.823101,11.29827,1.78873,1.155518,51.444591,1.820336,2.723394,12.400057,2.691199,1.338401,20.392727,1.700091,119.031892,1.699479,215.555621,1.196534,1.759595,2.01678,1.780456,2.071227,1.801721,1.827793,0.712887,0.745553,1.060576,1.994136,1.170996,1.312374,2.266723,2.918434,1.305761,0.838067,1.552947,1.348165,5.384887,1.788865,127.92698,1.219438,2.584692,2.330031,336.592228,0.356196,284.558453
2015-01-12,5.659504,1.130869,3.486171,1.157567,1.156329,1.154865,1.157058,7.891308,1.050874,25.287164,24.009616,25.108328,1.812828,11.280538,1.789137,1.155783,51.440506,1.820611,2.724115,12.402604,2.6917,1.339025,20.362838,1.690541,119.059039,1.699824,216.324412,1.193425,1.756689,2.012654,1.775917,2.065168,1.796749,1.816831,0.704838,0.74081,1.053645,1.989672,1.151504,1.297064,2.238829,2.882278,1.304985,0.832412,1.552833,1.344537,5.37302,1.763841,127.84884,1.218003,2.577989,2.320641,334.758784,0.355668,284.348547
2015-01-13,5.660246,1.131021,3.485799,1.157646,1.156408,1.154944,1.157137,7.924043,1.050242,25.280795,24.011292,25.111645,1.821187,11.336697,1.789313,1.156022,51.427016,1.820703,2.72451,12.403451,2.691334,1.339785,20.363378,1.697557,119.074997,1.699939,214.571993,1.189339,1.750448,2.003364,1.765911,2.051449,1.783317,1.819083,0.691289,0.735371,1.050494,1.993235,1.162227,1.292102,2.234883,2.877757,1.286749,0.822689,1.541439,1.322717,5.288233,1.755977,126.041477,1.215964,2.569172,2.308665,332.45344,0.351915,282.087397
2015-01-14,5.660833,1.131147,3.483468,1.157725,1.156487,1.155022,1.157217,7.89861,1.044238,25.181046,24.012969,25.114368,1.815508,11.230745,1.789465,1.156162,51.388206,1.820795,2.724849,12.404299,2.690338,1.34106,20.309408,1.692107,119.087918,1.700055,212.012359,1.187769,1.747078,1.998569,1.760767,2.044612,1.776704,1.827975,0.695643,0.723404,1.054248,1.994343,1.164365,1.293392,2.22993,2.87716,1.277344,0.81754,1.530774,1.312535,5.250121,1.745364,125.140835,1.215159,2.565779,2.304136,331.619912,0.347782,279.609285
2015-01-15,5.661397,1.131272,3.487561,1.157805,1.156567,1.155101,1.157296,7.883017,1.054326,25.357113,24.014646,25.116817,1.812794,11.213282,1.789638,1.156335,51.59498,1.820886,2.725154,12.405147,2.693342,1.343034,20.400065,1.688769,119.100984,1.70017,211.598391,1.184181,1.742579,1.991617,1.752535,2.032926,1.765686,1.812172,0.69772,0.720652,1.048079,1.986027,1.157312,1.315097,2.215507,2.850776,1.263175,0.810238,1.515872,1.299192,5.197696,1.728176,123.745105,1.213669,2.558068,2.292911,329.349453,0.345524,278.520897
2015-01-16,5.661905,1.131372,3.492089,1.157884,1.156646,1.155181,1.157375,7.919544,1.062735,25.509505,24.016325,25.119004,1.822336,11.100837,1.789808,1.156436,51.78284,1.820978,2.72547,12.405996,2.696227,1.345059,20.477487,1.696597,119.112893,1.700285,210.925547,1.186422,1.746245,1.996506,1.757169,2.038796,1.770886,1.842344,0.691338,0.745845,1.056603,2.00796,1.172734,1.3291,2.219583,2.85434,1.263532,0.80827,1.516512,1.303093,5.199687,1.717365,123.791906,1.215087,2.562898,2.298792,330.377642,0.344011,277.441315
2015-01-19,5.663374,1.131661,3.497213,1.158125,1.156885,1.155419,1.157615,7.893421,1.075619,25.737461,24.021387,25.125532,1.816188,11.025388,1.790221,1.156826,52.044659,1.821256,2.726287,12.408553,2.699586,1.347755,20.617121,1.69101,119.145369,1.700632,212.415621,1.190951,1.752691,2.005101,1.765523,2.049374,1.780497,1.84368,0.708166,0.72989,1.060732,1.998762,1.178262,1.337257,2.23906,2.871975,1.275781,0.818669,1.540807,1.312986,5.246924,1.734109,124.98635,1.217772,2.572678,2.311206,332.658727,0.345148,278.972331
2015-01-20,5.663727,1.131734,3.498247,1.158204,1.156964,1.155498,1.157695,7.918045,1.077105,25.770332,24.023066,25.127258,1.824969,11.101828,1.790332,1.156911,52.043718,1.821348,2.726511,12.409403,2.699399,1.349015,20.646288,1.696287,119.154416,1.700747,212.032398,1.191178,1.753549,2.006026,1.766449,2.050392,1.781136,1.849361,0.710347,0.739562,1.063842,2.012208,1.185775,1.341233,2.245973,2.892901,1.272349,0.819509,1.539362,1.308193,5.230471,1.739428,124.646433,1.217907,2.573164,2.311912,332.784847,0.345608,278.862698
2015-01-21,5.664032,1.1318,3.49815,1.158283,1.157043,1.155577,1.157774,7.911692,1.078392,25.788864,24.024746,25.128667,1.821289,11.039497,1.790423,1.156931,52.022489,1.82144,2.726693,12.410252,2.699146,1.348514,20.652432,1.694929,119.160427,1.700862,211.556849,1.193589,1.75863,2.013402,1.774494,2.0613,1.791479,1.846729,0.697378,0.733099,1.061014,2.015725,1.189519,1.347657,2.249027,2.894407,1.28688,0.818154,1.551422,1.322594,5.28636,1.741737,126.065743,1.219117,2.578365,2.319042,334.166782,0.345859,278.33581
2015-01-22,5.664435,1.131876,3.496637,1.158363,1.157122,1.155657,1.157853,7.99868,1.074632,25.726258,24.026428,25.130554,1.842073,11.203324,1.790551,1.156994,51.932315,1.821532,2.726927,12.411103,2.698363,1.347913,20.617014,1.713561,119.16855,1.700978,213.950934,1.204148,1.771026,2.031397,1.794272,2.088393,1.816886,1.899169,0.726448,0.743055,1.09392,2.065493,1.210608,1.349505,2.290007,2.940886,1.310367,0.839298,1.56969,1.343788,5.372896,1.77102,128.316549,1.224432,2.601198,2.350102,340.1967,0.348983,281.408743
